date,close,start,high,low,volume,transactionPrice,capitalization
2022-08-08,60800,61400,61400,60600,11313150,689020000000.0,362963000000000.0
2022-08-05,61500,61700,61900,61200,9567620,588583000000.0,367142000000000.0
2022-08-04,61500,61700,61800,61200,9125439,561836000000.0,367142000000000.0
2022-08-03,61300,61600,61600,61000,10053861,615481000000.0,365948000000000.0
2022-08-02,61700,61200,61900,61000,13614895,837567000000.0,368336000000000.0
2022-08-01,61300,61000,61700,60300,13154816,803035000000.0,365948000000000.0
2022-07-29,61400,62400,62600,61300,15093120,932918000000.0,366545000000000.0
2022-07-28,61900,62300,62600,61600,10745302,667085000000.0,369530000000000.0
2022-07-27,61800,61300,61900,61200,7320997,449990000000.0,368933000000000.0
2022-07-26,61700,60800,61900,60800,6597211,405310000000.0,368336000000000.0
2022-07-25,61100,60900,61900,60800,9193681,565540000000.0,364754000000000.0
2022-07-22,61300,61800,62200,61200,10261310,631873000000.0,365948000000000.0
2022-07-21,61800,61100,61900,60700,12291374,754855000000.0,368933000000000.0
2022-07-20,60500,61800,62100,60500,16782238,1025940000000.0,361172000000000.0
2022-07-19,60900,61400,61500,60200,15248261,925920000000.0,363560000000000.0
2022-07-18,61900,60600,62000,60500,20832517,1277730000000.0,369530000000000.0
2022-07-15,60000,58400,60000,58100,18685583,1104050000000.0,358187000000000.0
2022-07-14,57500,57500,58200,57400,15067012,869131000000.0,343262000000000.0
2022-07-13,58000,58300,58600,58000,10841315,631712000000.0,346247000000000.0
2022-07-12,58100,58600,58700,58100,9336061,544403000000.0,346844000000000.0
2022-07-11,58800,59300,59600,58700,13042624,771043000000.0,351023000000000.0
2022-07-08,58700,58600,59300,58200,15339271,902199000000.0,350426000000000.0
2022-07-07,58200,56400,58700,56300,21322833,1234680000000.0,347441000000000.0
2022-07-06,56400,57300,57300,56400,16820461,955957000000.0,336696000000000.0
2022-07-05,57200,57600,58200,57200,14216539,818080000000.0,341472000000000.0
2022-07-04,57100,56100,57400,55700,17807126,1012590000000.0,340875000000000.0
2022-07-01,56200,56900,57500,55900,24982097,1412470000000.0,335502000000000.0
2022-06-30,57000,57200,57600,57000,18915142,1082800000000.0,340278000000000.0
2022-06-29,58000,58500,58800,58000,14677138,855770000000.0,346247000000000.0
2022-06-28,59400,59200,59500,58700,13540538,800041000000.0,354605000000000.0
2022-06-27,58800,59000,59900,58300,18122236,1071190000000.0,351023000000000.0
2022-06-24,58400,57900,59100,57700,23256103,1359290000000.0,348635000000000.0
2022-06-23,57400,57700,58000,56800,28338608,1627020000000.0,342666000000000.0
2022-06-22,57600,59000,59100,57600,23334687,1360080000000.0,343859000000000.0
2022-06-21,58500,58700,59200,58200,25148109,1475000000000.0,349232000000000.0
2022-06-20,58700,59800,59900,58100,34111306,1997080000000.0,350426000000000.0
2022-06-17,59800,59400,59900,59400,29053450,1732450000000.0,356993000000000.0
2022-06-16,60900,61300,61800,60500,23394895,1431050000000.0,363560000000000.0
2022-06-15,60700,61300,61500,60200,26811224,1630190000000.0,362366000000000.0
2022-06-14,61900,61200,62200,61100,24606419,1519200000000.0,369530000000000.0
2022-06-13,62100,62400,62800,62100,22157816,1380640000000.0,370723000000000.0
2022-06-10,63800,64000,64400,63800,22193552,1419250000000.0,380872000000000.0
2022-06-09,65200,65100,65200,64500,25790725,1673760000000.0,389230000000000.0
2022-06-08,65300,65400,65700,65300,12483180,817379000000.0,389827000000000.0
2022-06-07,65500,66200,66400,65400,19355755,1273440000000.0,391021000000000.0
2022-06-03,66800,67200,67300,66800,8222883,550655000000.0,398781000000000.0
2022-06-02,66700,66600,67000,66400,14959443,996681000000.0,398184000000000.0
2022-05-31,67400,67500,67500,66700,24365002,1637770000000.0,402363000000000.0
2022-05-30,67700,67500,67800,66900,14255484,960593000000.0,404154000000000.0
2022-05-27,66500,66700,66900,66200,11405555,759035000000.0,396991000000000.0
2022-05-26,65900,66300,67200,65500,15970890,1057300000000.0,393409000000000.0
2022-05-25,66400,66700,67100,65900,15150490,1007810000000.0,396394000000000.0
2022-05-24,66500,67500,67700,66500,15482576,1035490000000.0,396991000000000.0
2022-05-23,67900,68800,68800,67600,13684088,931341000000.0,405348000000000.0
2022-05-20,68000,67800,68400,67700,12109671,824049000000.0,405945000000000.0
2022-05-19,67500,66500,67600,66500,17073727,1147740000000.0,402960000000000.0
2022-05-18,68100,68300,68700,67600,16486319,1122590000000.0,406542000000000.0
2022-05-17,67600,66600,67900,66600,15680447,1058320000000.0,403557000000000.0
2022-05-16,66300,67100,67400,66100,11937555,796061000000.0,395797000000000.0
2022-05-13,66500,65300,66700,65200,14551536,962476000000.0,396991000000000.0
2022-05-12,64900,65200,65500,64900,16414188,1069690000000.0,387439000000000.0
2022-05-11,65700,65500,66300,65200,12330920,812298000000.0,392215000000000.0
2022-05-10,65700,65900,66300,65300,17235605,1132070000000.0,392215000000000.0
2022-05-09,66100,66300,66900,66100,11858736,787563000000.0,394603000000000.0
2022-05-06,66500,67000,67100,66500,14356156,957335000000.0,396991000000000.0
2022-05-04,67900,68000,68400,67500,11505248,781073000000.0,405348000000000.0
2022-05-03,67500,67400,68400,67300,14168875,962643000000.0,402960000000000.0
2022-05-02,67300,66600,67600,66500,14106184,946016000000.0,401766000000000.0
2022-04-29,67400,65100,67600,65000,26190390,1747030000000.0,402363000000000.0
2022-04-28,64800,65400,65500,64500,16895527,1094280000000.0,386842000000000.0
2022-04-27,65000,65400,65500,64900,18122084,1179920000000.0,388036000000000.0
2022-04-26,66100,66400,66700,66100,12946923,858461000000.0,394603000000000.0
2022-04-25,66300,66500,66700,66300,11016474,731676000000.0,395797000000000.0
2022-04-22,67000,67200,67300,66700,11791478,789392000000.0,399975000000000.0
2022-04-21,67700,67600,68300,67500,12847448,872983000000.0,404154000000000.0
