close,start,high,low,volume,transactionPrice,capitalization
120000,121000,121500,118500,3912683,4.70385E+11,8.73603E+13
118000,117000,119500,116500,3619045,4.27718E+11,8.59043E+13
119500,119000,121000,119000,5203286,6.23419E+11,8.69963E+13
124500,127500,128000,124000,3249773,4.06304E+11,9.06363E+13
129000,128000,129500,127000,3088097,3.96562E+11,9.39123E+13
125000,124500,126500,123000,2903340,3.61484E+11,9.10003E+13
123500,123000,123500,121000,3224264,3.95526E+11,8.99083E+13
123000,125500,126000,122500,3309625,4.10516E+11,8.95443E+13
122500,125500,126000,122000,5748069,7.09502E+11,8.91803E+13
128500,130000,130500,127000,2752112,3.53757E+11,9.35483E+13
128500,127000,129500,126000,3179806,4.05764E+11,9.35483E+13
130000,129000,130500,127000,4048108,5.2194E+11,9.46403E+13
131500,131500,133000,129500,3108887,4.07715E+11,9.57323E+13
133000,130500,134000,130000,5433402,7.19951E+11,9.68243E+13
130500,131000,132500,130000,3499809,4.59242E+11,9.50043E+13
127000,131500,132000,127000,5097120,6.56448E+11,9.24563E+13
132500,130000,132500,129500,4962205,6.52422E+11,9.64603E+13
132000,130500,132500,130000,6057207,7.95971E+11,9.60963E+13
129500,129000,131000,127000,7269729,9.39936E+11,9.42763E+13
126000,127000,128000,124500,4339337,5.48847E+11,9.17283E+13
125000,124500,126000,123500,4054097,5.06437E+11,9.10003E+13
123000,123000,123500,119500,4804261,5.83282E+11,8.95443E+13
124500,125500,127000,124000,3037097,3.79979E+11,9.06363E+13
124000,124500,127000,124000,5171178,6.47974E+11,9.02723E+13
120500,115000,121500,114500,4776510,5.68487E+11,8.77243E+13
113500,119500,119500,111000,6679404,7.61227E+11,8.26283E+13
117500,119000,119500,117500,3416240,4.04643E+11,8.55403E+13
118000,118000,120000,116500,5702595,6.72614E+11,8.59043E+13
119000,116500,120500,116500,4883822,5.77394E+11,8.66323E+13
119000,121500,122500,118000,6465040,7.74548E+11,8.66323E+13
125000,126000,126500,123500,5441986,6.77312E+11,9.10003E+13
127000,123500,128500,123500,4094609,5.17205E+11,9.24563E+13
126500,126500,127500,125000,3607850,4.5539E+11,9.20923E+13
127000,127500,128000,124500,3730393,4.70159E+11,9.24563E+13
128500,128500,129000,126000,3769648,4.79418E+11,9.35483E+13
129500,128500,130000,128000,4155984,5.36434E+11,9.42763E+13
128500,129500,130000,126500,3552174,4.55037E+11,9.35483E+13
128000,125500,128500,124500,3958787,5.02323E+11,9.31843E+13
124500,126500,127000,123000,3449197,4.28295E+11,9.06363E+13
127000,127000,129000,126500,3270119,4.17803E+11,9.24563E+13
125000,123500,127000,123000,3725569,4.66797E+11,9.10003E+13
125500,129000,129000,121500,7414954,9.21468E+11,9.13643E+13
128500,129500,130000,127500,3622369,4.66571E+11,9.35483E+13
128500,132000,132500,128000,3782213,4.9094E+11,9.35483E+13
131000,131000,133500,130000,5172987,6.79016E+11,9.53683E+13
127000,127500,128500,125500,3832154,4.86662E+11,9.24563E+13
127500,126500,128000,124500,4086063,5.1425E+11,9.28203E+13
126000,128500,129000,126000,2684135,3.41064E+11,9.17283E+13
128000,129000,130000,128000,2462683,3.17105E+11,9.31843E+13
127500,129000,129000,126500,2398358,3.05474E+11,9.28203E+13
127000,127500,128500,126000,3817689,4.85766E+11,9.24563E+13
124500,124000,124500,122500,3678590,4.56219E+11,9.06363E+13
120500,121500,123500,120500,2846815,3.46125E+11,8.77243E+13
122000,120500,123000,120500,3850444,4.68342E+11,8.88163E+13
124000,125000,125500,122500,3869086,4.7928E+11,9.02723E+13
123500,120000,123500,120000,2681332,3.27764E+11,8.99083E+13
121000,120500,123000,120000,2201003,2.66373E+11,8.80883E+13
121500,121000,124000,121000,3329176,4.08531E+11,8.84523E+13
120500,120500,121500,119500,2512642,3.02355E+11,8.77243E+13
123500,120500,123500,119000,5631833,6.89409E+11,8.99083E+13
120000,124000,125000,119500,6168137,7.5288E+11,8.73603E+13
121500,119000,122500,118000,5112025,6.17725E+11,8.84523E+13
118500,116000,119000,115500,4318893,5.07851E+11,8.62683E+13
118000,119000,119500,115500,4567843,5.37427E+11,8.59043E+13
120000,115500,120500,115000,6980518,8.31751E+11,8.73603E+13
116500,114500,117500,112000,4214135,4.84483E+11,8.48123E+13
114000,118000,119000,112500,7449608,8.61327E+11,8.29923E+13
116000,113000,118500,113000,4412863,5.14358E+11,8.44483E+13
115500,116500,118500,113000,4337936,5.0213E+11,8.40843E+13
117500,120500,121000,117000,3339835,3.95199E+11,8.55403E+13
